Country,Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Status
Afghanistan,2015,65,263,62,0.01,72,Developing
Afghanistan,2014,59.9,271,64,0.01,74,Developing
Afghanistan,2013,59.9,268,66,0.01,74,Developing
Afghanistan,2012,59.5,272,69,0.01,79,Developing
Afghanistan,2011,59.2,275,71,0.01,8,Developing
Afghanistan,2010,58.8,279,74,0.01,80,Developing
Afghanistan,2009,58.6,281,77,0.01,57,Developing
Afghanistan,2008,58.1,287,80,0.03,26,Developing
Afghanistan,2007,57.5,295,82,0.02,11,Developing
Afghanistan,2006,57.3,295,84,0.03,18,Developing
Afghanistan,2005,57.3,291,85,0.02,2,Developing
Afghanistan,2004,57,293,87,0.02,16,Developing
Afghanistan,2003,56.7,295,87,0.01,12,Developing
Afghanistan,2002,56.2,3,88,0.01,17,Developing
Afghanistan,2001,55.3,316,88,0.01,11,Developing
Afghanistan,2000,54.8,321,88,0.01,11,Developing
Albania,2015,77.8,74,0,4.6,365,Developing
Albania,2014,77.5,8,0,4.51,429,Developing
Albania,2013,77.2,84,0,4.76,431,Developing
Albania,2012,76.9,86,0,5.14,413,Developing
Albania,2011,76.6,88,0,5.37,438,Developing
Albania,2010,76.2,91,1,5.28,42,Developing
Albania,2009,76.1,91,1,5.79,349,Developing
Albania,2008,75.3,1,1,5.61,37,Developing
Albania,2007,75.9,9,1,5.58,33,Developing
Albania,2006,74.2,99,1,5.31,4,Developing
Albania,2005,73.5,15,1,5.16,27,Developing
Albania,2004,73,17,1,4.54,222,Developing
Albania,2003,72.8,18,1,4.29,15,Developing
Albania,2002,73.3,15,1,3.73,105,Developing
Albania,2001,73.6,14,1,4.25,97,Developing
Albania,2000,72.6,11,1,3.66,92,Developing
Algeria,2015,75.6,19,21,,0,Developing
Algeria,2014,75.4,11,21,0.01,55,Developing
Algeria,2013,75.3,112,21,0.53,545,Developing
Algeria,2012,75.1,113,21,0.66,556,Developing
Algeria,2011,74.9,116,21,0.56,510,Developing
Algeria,2010,74.7,119,21,0.45,431,Developing
Algeria,2009,74.4,123,20,0.5,353,Developing
Algeria,2008,74.1,126,20,0.46,44,Developing
Algeria,2007,73.8,129,20,0.44,321,Developing
Algeria,2006,73.4,132,20,0.36,271,Developing
Algeria,2005,72.9,136,19,0.5,3,Developing
Algeria,2004,72.3,14,19,0.45,221,Developing
Algeria,2003,71.7,146,20,0.34,26,Developing
Algeria,2002,71.6,145,20,0.36,149,Developing
Algeria,2001,71.4,145,20,0.23,148,Developing
Algeria,2000,71.3,145,21,0.25,155,Developing
Angola,2015,52.4,335,66,,0,Developing
Angola,2014,51.7,348,67,8.33,24,Developing
Angola,2013,51.1,355,69,8.1,36,Developing
Angola,2012,56,358,72,8.24,257,Developing
Angola,2011,51,361,75,8.06,240,Developing
Angola,2010,49.6,365,78,7.8,192,Developing
Angola,2009,49.1,369,81,7.01,213,Developing
Angola,2008,48.7,371,84,7.07,250,Developing
Angola,2007,48.2,375,87,6.35,185,Developing
Angola,2006,47.7,381,90,5.84,26,Developing
Angola,2005,47.4,382,92,5.04,99,Developing
